timestamp,close,high,low,trade_count,open,volume,vwap
2024-11-18 05:00:00+00:00,338.71,348.49,330.01,24075,340.725,1327574,340.8683
2024-11-19 05:00:00+00:00,345.88,347.31,332.99,17209,335.765,950295,343.126566
2024-11-20 05:00:00+00:00,342.07,346.58,334.33,11976,345.05,604672,339.731063
2024-11-21 05:00:00+00:00,339.69,347.87,335.34,8542,343.825,559920,341.95118
2024-11-22 05:00:00+00:00,352.67,356.54,337.8,11014,340.99,672497,351.054811
2024-11-25 05:00:00+00:00,338.57,361.81,338.2,13157,360.495,709226,349.173673
2024-11-26 05:00:00+00:00,338.19,346.96,335.69,9150,341.08,554903,341.129352
2024-11-27 05:00:00+00:00,332.92,342.44,326.83,9172,341.88,445343,333.297716
2024-11-29 05:00:00+00:00,345.13,345.2,334.8,5667,336.235,292912,340.528111
2024-12-02 05:00:00+00:00,356.91,359.98,351.17,8441,352.44,439735,355.70707
2024-12-03 05:00:00+00:00,351.39,355.65,348.22,9723,351.325,525719,350.847132
2024-12-04 05:00:00+00:00,357.73,358.09,348.61,8635,353.26,400117,353.15286
2024-12-05 05:00:00+00:00,369.4,375.39,359.64,15957,359.99,992077,370.552734
2024-12-06 05:00:00+00:00,389.27,389.43,370.89,12154,377.19,682149,378.990736
2024-12-09 05:00:00+00:00,389.99,404.75,378.22,12642,397.61,711423,389.5557
2024-12-10 05:00:00+00:00,401.0,409.64,390.92,14858,392.64,1033835,403.270788
2024-12-11 05:00:00+00:00,424.67,424.81,402.56,15631,409.83,1051928,415.572019
2024-12-12 05:00:00+00:00,418.18,429.25,415.0,14697,424.805,715069,421.854642
2024-12-13 05:00:00+00:00,436.24,436.255,415.76,10687,420.35,658977,428.231993
2024-12-16 05:00:00+00:00,463.11,463.11,436.3,17809,441.07,1065311,453.945967
2024-12-17 05:00:00+00:00,479.86,483.82,457.75,24789,475.39,1252960,473.919693
2024-12-18 05:00:00+00:00,440.49,488.45,427.11,21473,466.495,1285094,459.152219
2024-12-19 05:00:00+00:00,436.16,456.32,420.03,18497,451.99,1010431,437.549395
2024-12-20 05:00:00+00:00,421.13,447.015,417.925,13556,425.135,747481,432.782595
2024-12-23 05:00:00+00:00,424.7,432.64,417.0,2777,430.865,158426,425.024743
2024-12-24 05:00:00+00:00,462.27,462.4,435.28,5752,435.92,349563,452.214218
2024-12-26 05:00:00+00:00,454.15,465.2,451.04,8469,465.01,470369,456.665292
2024-12-27 05:00:00+00:00,431.7,449.82,426.59,9168,449.05,524440,434.203341
2024-12-30 05:00:00+00:00,417.41,427.0,415.76,9744,419.105,579297,420.764389
2024-12-31 05:00:00+00:00,403.74,427.675,402.68,10857,423.79,572891,412.216859
2025-01-02 05:00:00+00:00,379.49,392.42,373.2,16964,390.43,901790,381.05918
2025-01-03 05:00:00+00:00,410.43,411.84,379.45,12598,381.39,755417,398.212826
2025-01-06 05:00:00+00:00,411.21,426.31,401.785,13929,423.25,586072,412.071002
2025-01-07 05:00:00+00:00,394.56,414.185,390.02,11549,405.65,679866,396.969565
2025-01-08 05:00:00+00:00,394.95,402.09,387.62,13695,393.05,834969,395.367011
2025-01-10 05:00:00+00:00,394.72,399.07,384.33,9113,391.59,557079,392.511614
2025-01-13 05:00:00+00:00,403.31,403.77,380.35,10280,383.16,546335,392.199114
2025-01-14 05:00:00+00:00,396.14,422.62,394.68,8691,414.775,511547,408.209657
2025-01-15 05:00:00+00:00,428.19,429.76,405.7,10183,410.15,573031,419.89241
2025-01-16 05:00:00+00:00,413.8,423.26,409.25,8064,423.26,469916,414.704824
2025-01-17 05:00:00+00:00,426.55,439.66,419.93,9023,421.3,501315,431.577505
2025-01-21 05:00:00+00:00,423.46,432.77,406.33,11051,432.69,618321,416.143899
2025-01-22 05:00:00+00:00,414.84,427.945,414.65,7525,416.72,424182,419.861476
2025-01-23 05:00:00+00:00,412.14,420.325,409.0,5656,416.11,293943,412.585658
2025-01-24 05:00:00+00:00,406.49,418.0,405.86,8991,414.5,480349,411.71191
2025-01-27 05:00:00+00:00,397.41,406.6,389.04,10638,394.655,571035,398.38623
2025-01-28 05:00:00+00:00,398.19,400.55,386.8,7302,396.72,385722,393.709961
2025-01-29 05:00:00+00:00,388.17,398.54,384.575,10420,395.15,664792,390.040724
2025-01-30 05:00:00+00:00,400.17,412.3,384.5,18252,410.575,1237906,399.695668
2025-01-31 05:00:00+00:00,404.68,419.97,401.425,15129,401.54,968990,412.497117
2025-02-03 05:00:00+00:00,383.77,389.16,374.36,17560,386.68,1015789,382.662131
2025-02-04 05:00:00+00:00,392.19,393.94,381.41,10795,382.51,574785,386.782522
2025-02-05 05:00:00+00:00,378.01,388.21,375.58,12560,387.44,608211,381.354292
2025-02-06 05:00:00+00:00,373.835,375.23,363.3,10496,373.14,574865,368.649925
2025-02-07 05:00:00+00:00,361.47,380.28,360.4,12277,370.16,630144,368.533111
2025-02-10 05:00:00+00:00,350.655,362.63,350.535,11269,356.2,683263,355.664177
2025-02-11 05:00:00+00:00,328.505,349.29,325.13,18207,345.6,1110698,334.336254
2025-02-12 05:00:00+00:00,336.44,346.36,329.23,14119,330.0,846124,340.042263
2025-02-13 05:00:00+00:00,355.98,358.56,342.87,12435,345.1,671773,352.647769
2025-02-14 05:00:00+00:00,355.92,361.92,347.625,12578,360.53,661557,353.056027
2025-02-18 05:00:00+00:00,354.1,358.99,350.04,7256,355.01,314047,354.37237
2025-02-19 05:00:00+00:00,360.55,367.34,353.82,10202,353.93,517848,361.873317
