Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI,MACD,MACD_Signal,BB_High,BB_Low
2020-10-16,146.55667114257812,151.98333740234375,146.28334045410156,151.47999572753906,98327700,135.21509262084962,76.24210987091064,54.267047688025826,4.089144484859361,3.884409069641739,155.71965269153736,129.12434450084544
2020-10-19,143.61000061035156,149.0,142.9566650390625,148.74667358398438,108863400,136.15034591674805,76.81248987197876,51.80296881619433,3.620696860141777,3.8316666277417464,154.99094169468182,129.23438942104085
2020-10-20,140.64666748046875,143.9166717529297,139.68333435058594,143.9166717529297,94968900,137.07185256958007,77.36520987510681,49.37491477520582,2.9760267408408367,3.6605386503615645,154.96539680747068,129.1836006900879
2020-10-21,140.8800048828125,144.31666564941406,140.4166717529297,140.89999389648438,97111500,138.05693267822267,77.9132565689087,49.57533212310238,2.4556422892582077,3.4195593781408933,153.62954967051175,131.9287816283164
2020-10-22,141.92999267578125,148.41000366210938,141.50332641601562,147.30667114257812,119979600,138.8225192260742,78.45885986328125,50.524502741236994,2.1037088558134087,3.1563892736753965,152.34194869489787,134.48304825334432
2020-10-23,140.2100067138672,140.9633331298828,135.7933349609375,140.6133270263672,101151000,139.46538604736327,78.99946323394775,48.90066967065445,1.6667967858584802,2.8584707761120134,151.99695360700161,135.2710441346976
2020-10-26,140.0933380126953,141.9199981689453,136.6666717529297,137.2100067138672,84717600,140.06630615234374,79.54054658889771,48.786131600601486,1.2961850194373028,2.5460136247770717,152.00636956261303,135.2309625907073
2020-10-27,141.55999755859375,143.5,140.03334045410156,141.25332641601562,68059500,140.44998611450194,80.07339324951172,50.36020390230741,1.1080468184161703,2.258420263504892,151.9631866525481,135.46114501249096
2020-10-28,135.33999633789062,139.53334045410156,135.3333282470703,138.82666015625,76354200,140.64066604614257,80.57078657150268,44.161176317283726,0.45183534623902233,1.897103280051718,152.35176121394326,134.30623744328332
2020-10-29,136.94332885742188,139.35333251953125,135.48666381835938,136.65333557128906,67965900,140.8748258972168,81.08266988754272,46.00618296083288,0.060461597843612935,1.5297749436100971,151.68893317917224,133.7247310664332
